,State,County,URL
72,Alaska,Chugach Census Area[e],"https://en.wikipedia.org/wiki/Chugach_Census_Area,_Alaska"
73,Alaska,Copper River Census Area[e],"https://en.wikipedia.org/wiki/Copper_River_Census_Area,_Alaska"
74,Alaska,Denali Borough[d],"https://en.wikipedia.org/wiki/Denali_Borough,_Alaska"
75,Alaska,Dillingham Census Area[e],"https://en.wikipedia.org/wiki/Dillingham_Census_Area,_Alaska"
76,Alaska,Fairbanks North Star Borough[d],"https://en.wikipedia.org/wiki/Fairbanks_North_Star_Borough,_Alaska"
77,Alaska,Haines Borough[d],"https://en.wikipedia.org/wiki/Haines_Borough,_Alaska"
78,Alaska,Hoonah–Angoon Census Area[e],"https://en.wikipedia.org/wiki/Hoonah%E2%80%93Angoon_Census_Area,_Alaska"
79,Alaska,"Juneau, City and Borough of[d][g]","https://en.wikipedia.org/wiki/Juneau,_Alaska"
80,Alaska,Kenai Peninsula Borough[d],"https://en.wikipedia.org/wiki/Kenai_Peninsula_Borough,_Alaska"
81,Alaska,Ketchikan Gateway Borough[d],"https://en.wikipedia.org/wiki/Ketchikan_Gateway_Borough,_Alaska"
82,Alaska,Kodiak Island Borough[d],"https://en.wikipedia.org/wiki/Kodiak_Island_Borough,_Alaska"
83,Alaska,Kusilvak Census Area[e],"https://en.wikipedia.org/wiki/Kusilvak_Census_Area,_Alaska"
84,Alaska,Lake and Peninsula Borough[d],"https://en.wikipedia.org/wiki/Lake_and_Peninsula_Borough,_Alaska"
85,Alaska,Matanuska-Susitna Borough[d],"https://en.wikipedia.org/wiki/Matanuska-Susitna_Borough,_Alaska"
86,Alaska,Nome Census Area[e],"https://en.wikipedia.org/wiki/Nome_Census_Area,_Alaska"
87,Alaska,North Slope Borough[d],"https://en.wikipedia.org/wiki/North_Slope_Borough,_Alaska"
88,Alaska,Northwest Arctic Borough[d],"https://en.wikipedia.org/wiki/Northwest_Arctic_Borough,_Alaska"
89,Alaska,Petersburg Borough[d][h],"https://en.wikipedia.org/wiki/Petersburg_Borough,_Alaska"
90,Alaska,Prince of Wales – Hyder Census Area[e],"https://en.wikipedia.org/wiki/Prince_of_Wales_%E2%80%93_Hyder_Census_Area,_Alaska"
91,Alaska,"Sitka, City and Borough of[d][i]","https://en.wikipedia.org/wiki/Sitka,_Alaska"
92,Alaska,"Skagway, Municipality of[d]","https://en.wikipedia.org/wiki/Skagway,_Alaska"
93,Alaska,Southeast Fairbanks Census Area[e],"https://en.wikipedia.org/wiki/Southeast_Fairbanks_Census_Area,_Alaska"
94,Alaska,"Wrangell, City and Borough of[d]","https://en.wikipedia.org/wiki/Wrangell,_Alaska"
95,Alaska,"Yakutat, City and Borough of[d][j]","https://en.wikipedia.org/wiki/Yakutat,_Alaska"
96,Alaska,Yukon–Koyukuk Census Area[e],"https://en.wikipedia.org/wiki/Yukon%E2%80%93Koyukuk_Census_Area,_Alaska"
97,American Samoa,Eastern District[12],"https://en.wikipedia.org/wiki/Eastern_District,_American_Samoa"
98,American Samoa,Manu'a District[12],"https://en.wikipedia.org/wiki/Manu%27a_District,_American_Samoa"
99,American Samoa,Rose Atoll (Rose Island)[12],https://en.wikipedia.org/wiki/Rose_Atoll
100,American Samoa,Swains Island[12],https://en.wikipedia.org/wiki/Swains_Island
101,American Samoa,Western District[12],"https://en.wikipedia.org/wiki/Western_District,_American_Samoa"
102,Arizona,Apache,"https://en.wikipedia.org/wiki/Apache_County,_Arizona"
103,Arizona,Cochise,"https://en.wikipedia.org/wiki/Cochise_County,_Arizona"
104,Arizona,Coconino,"https://en.wikipedia.org/wiki/Coconino_County,_Arizona"
105,Arizona,Gila,"https://en.wikipedia.org/wiki/Gila_County,_Arizona"
106,Arizona,Graham,"https://en.wikipedia.org/wiki/Graham_County,_Arizona"
107,Arizona,Greenlee,"https://en.wikipedia.org/wiki/Greenlee_County,_Arizona"
108,Arizona,La Paz,"https://en.wikipedia.org/wiki/La_Paz_County,_Arizona"
109,Arizona,Maricopa,"https://en.wikipedia.org/wiki/Maricopa_County,_Arizona"
110,Arizona,Mohave,"https://en.wikipedia.org/wiki/Mohave_County,_Arizona"
111,Arizona,Navajo,"https://en.wikipedia.org/wiki/Navajo_County,_Arizona"
112,Arizona,Pima,"https://en.wikipedia.org/wiki/Pima_County,_Arizona"
113,Arizona,Pinal,"https://en.wikipedia.org/wiki/Pinal_County,_Arizona"
114,Arizona,Santa Cruz,"https://en.wikipedia.org/wiki/Santa_Cruz_County,_Arizona"
115,Arizona,Yavapai,"https://en.wikipedia.org/wiki/Yavapai_County,_Arizona"
116,Arizona,Yuma,"https://en.wikipedia.org/wiki/Yuma_County,_Arizona"
117,Arkansas,Arkansas,"https://en.wikipedia.org/wiki/Arkansas_County,_Arkansas"
118,Arkansas,Ashley,"https://en.wikipedia.org/wiki/Ashley_County,_Arkansas"
119,Arkansas,Baxter,"https://en.wikipedia.org/wiki/Baxter_County,_Arkansas"
120,Arkansas,Benton,"https://en.wikipedia.org/wiki/Benton_County,_Arkansas"
121,Arkansas,Boone,"https://en.wikipedia.org/wiki/Boone_County,_Arkansas"
122,Arkansas,Bradley,"https://en.wikipedia.org/wiki/Bradley_County,_Arkansas"
123,Arkansas,Calhoun,"https://en.wikipedia.org/wiki/Calhoun_County,_Arkansas"
