"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AR-071,"Johnson County",60.2,59,-0.3,60.5
AR-073,"Lafayette County",64.4,62,-0.2,64.6
AR-075,"Lawrence County",59.5,52,-0.7,60.2
AR-077,"Lee County",62.2,54,-0.6,62.8
AR-079,"Lincoln County",63.4,61,0.0,63.4
AR-081,"Little River County",64.3,74,0.5,63.8
AR-083,"Logan County",61.7,64,-0.1,61.8
AR-085,"Lonoke County",63.3,77,0.5,62.8
AR-087,"Madison County",57.8,56,-0.8,58.6
AR-089,"Marion County",58.6,60,-0.3,58.9
AR-091,"Miller County",64.9,70,0.2,64.7
AR-093,"Mississippi County",60.7,51,-0.8,61.5
AR-095,"Monroe County",62.9,68,0.1,62.8
AR-097,"Montgomery County",61.9,76,0.3,61.6
AR-099,"Nevada County",63.1,54,-0.8,63.9
AR-101,"Newton County",57.6,51,-0.8,58.4
AR-103,"Ouachita County",62.9,45,-1.1,64
AR-105,"Perry County",62.2,68,0.0,62.2
AR-107,"Phillips County",63.0,59,-0.2,63.2
AR-109,"Pike County",62.0,57,-0.5,62.5
AR-111,"Poinsett County",60.6,48,-0.9,61.5
AR-113,"Polk County",60.8,64,-0.1,60.9
AR-115,"Pope County",60.2,58,-0.4,60.6
AR-117,"Prairie County",63.1,72,0.3,62.8
AR-119,"Pulaski County",63.1,77,0.4,62.7
AR-121,"Randolph County",59.4,61,-0.2,59.6
AR-123,"St. Francis County",61.6,45,-1.0,62.6
AR-125,"Saline County",62.9,75,0.4,62.5
AR-127,"Scott County",61.4,69,0.1,61.3
AR-129,"Searcy County",57.6,45,-1.2,58.8
AR-131,"Sebastian County",62.3,71,0.3,62
AR-133,"Sevier County",63.2,69,0.1,63.1
AR-135,"Sharp County",58.6,56,-0.4,59
AR-137,"Stone County",59.2,67,-0.1,59.3
AR-139,"Union County",63.2,47,-1.0,64.2
AR-141,"Van Buren County",59.3,56,-0.4,59.7
AR-143,"Washington County",58.2,41,-1.2,59.4
AR-145,"White County",61.7,67,-0.2,61.9
AR-147,"Woodruff County",61.2,49,-0.9,62.1
AR-149,"Yell County",62.2,71,0.2,62
CA-001,"Alameda County",65.0,122,3.5,61.5
CA-003,"Alpine County",50.2,121,4.7,45.5
CA-005,"Amador County",65.5,126,5.6,59.9
CA-007,"Butte County",66.9,125,5.7,61.2
