"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AR-073,"Lafayette County",2.09,45,-1.2,3.29
AR-075,"Lawrence County",1.99,38,-1.24,3.23
AR-077,"Lee County",2.3,42,-1.0,3.3
AR-079,"Lincoln County",2.01,40,-1.26,3.27
AR-081,"Little River County",2.84,54,-0.81,3.65
AR-083,"Logan County",3.94,79,0.29,3.65
AR-085,"Lonoke County",2.08,41,-1.29,3.37
AR-087,"Madison County",4.4,83,0.69,3.71
AR-089,"Marion County",4.5,99,1.27,3.23
AR-091,"Miller County",2.13,43,-1.27,3.4
AR-093,"Mississippi County",2.57,58,-0.6,3.17
AR-095,"Monroe County",1.51,28,-1.78,3.29
AR-097,"Montgomery County",5.56,104,1.7,3.86
AR-099,"Nevada County",2.78,57,-0.66,3.44
AR-101,"Newton County",4.75,91,1.05,3.7
AR-103,"Ouachita County",3.13,66,-0.21,3.34
AR-105,"Perry County",3.93,80,0.41,3.52
AR-107,"Phillips County",1.86,37,-1.38,3.24
AR-109,"Pike County",4.13,78,0.3,3.83
AR-111,"Poinsett County",2.6,56,-0.66,3.26
AR-113,"Polk County",5.65,99,1.63,4.02
AR-115,"Pope County",4.58,88,0.77,3.81
AR-117,"Prairie County",1.65,30,-1.63,3.28
AR-119,"Pulaski County",2.85,58,-0.65,3.5
AR-121,"Randolph County",1.69,34,-1.52,3.21
AR-123,"St. Francis County",2.85,62,-0.47,3.32
AR-125,"Saline County",3.24,60,-0.44,3.68
AR-127,"Scott County",5.52,95,1.83,3.69
AR-129,"Searcy County",3.99,83,0.5,3.49
AR-131,"Sebastian County",5.28,98,1.74,3.54
AR-133,"Sevier County",3.64,70,-0.17,3.81
AR-135,"Sharp County",2.28,45,-0.94,3.22
AR-137,"Stone County",3.35,78,-0.1,3.45
AR-139,"Union County",3.08,69,-0.22,3.3
AR-141,"Van Buren County",3.55,76,-0.24,3.79
AR-143,"Washington County",4.36,83,0.6,3.76
AR-145,"White County",2.48,46,-0.92,3.4
AR-147,"Woodruff County",2.61,54,-0.66,3.27
AR-149,"Yell County",4.08,79,0.41,3.67
CA-001,"Alameda County",0.0,1,-0.92,0.92
CA-003,"Alpine County",0.16,14,-1.68,1.84
CA-005,"Amador County",0.07,16,-1.73,1.8
CA-007,"Butte County",0.0,1,-2.39,2.39
CA-009,"Calaveras County",0.04,16,-1.72,1.76
CA-011,"Colusa County",0.0,1,-1.11,1.11
CA-013,"Contra Costa County",0.0,1,-0.88,0.88
CA-015,"Del Norte County",0.96,12,-4.57,5.53
CA-017,"El Dorado County",0.13,14,-2.21,2.34
CA-019,"Fresno County",0.01,10,-0.86,0.87
CA-021,"Glenn County",0.01,6,-1.33,1.34
CA-023,"Humboldt County",0.26,7,-3.75,4.01
CA-025,"Imperial County",0.24,92,0.0,0.24
CA-027,"Inyo County",0.0,1,-0.32,0.32
CA-029,"Kern County",0.01,13,-0.36,0.37
CA-031,"Kings County",0.0,1,-0.36,0.36
CA-033,"Lake County",0.02,7,-2.26,2.28
CA-035,"Lassen County",0.16,13,-1.13,1.29
CA-037,"Los Angeles County",0.14,41,-0.37,0.51
CA-039,"Madera County",0.04,14,-1.04,1.08
CA-041,"Marin County",0.0,1,-1.74,1.74
CA-043,"Mariposa County",0.08,20,-1.48,1.56
CA-045,"Mendocino County",0.06,7,-2.82,2.88
CA-047,"Merced County",0.0,1,-0.52,0.52
CA-049,"Modoc County",0.37,23,-0.88,1.25
CA-051,"Mono County",0.1,17,-0.7,0.8
CA-053,"Monterey County",0.01,13,-0.73,0.74
CA-055,"Napa County",0.0,1,-1.5,1.5
CA-057,"Nevada County",0.08,9,-2.67,2.75
CA-059,"Orange County",0.31,71,-0.17,0.48
CA-061,"Placer County",0.1,10,-2.39,2.49
CA-063,"Plumas County",0.01,1,-2.35,2.36
CA-065,"Riverside County",0.74,100,0.33,0.41
CA-067,"Sacramento County",0.0,1,-0.91,0.91
CA-069,"San Benito County",0.01,18,-0.65,0.66
CA-071,"San Bernardino County",0.27,66,-0.1,0.37
CA-073,"San Diego County",0.33,66,-0.27,0.6
CA-075,"San Francisco County",0.01,6,-1.19,1.2
CA-077,"San Joaquin County",0.0,1,-0.69,0.69
CA-079,"San Luis Obispo County",0.0,1,-0.66,0.66
CA-081,"San Mateo County",0.01,6,-1.33,1.34
CA-083,"Santa Barbara County",0.02,22,-0.64,0.66
CA-085,"Santa Clara County",0.0,1,-1.03,1.03
CA-087,"Santa Cruz County",0.01,7,-1.42,1.43
CA-089,"Shasta County",0.03,6,-2.47,2.5
CA-091,"Sierra County",0.1,10,-2.5,2.6
CA-093,"Siskiyou County",0.52,16,-2.09,2.61
CA-095,"Solano County",0.0,1,-0.93,0.93
CA-097,"Sonoma County",0.0,1,-2.14,2.14
CA-099,"Stanislaus County",0.0,1,-0.63,0.63
CA-101,"Sutter County",0.0,1,-1.02,1.02
CA-103,"Tehama County",0.0,1,-2.13,2.13
CA-105,"Trinity County",0.13,7,-3.36,3.49
CA-107,"Tulare County",0.0,1,-0.88,0.88
