"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
GA-315,"Wilcox County",1.28,45,-1.06,2.34
GA-317,"Wilkes County",0.85,21,-2.08,2.93
GA-319,"Wilkinson County",1.07,37,-1.39,2.46
GA-321,"Worth County",1.3,48,-0.89,2.19
ID-001,"Ada County",0.85,71,0.02,0.83
ID-003,"Adams County",1.11,31,-1.11,2.22
ID-005,"Bannock County",1.28,64,-0.15,1.43
ID-007,"Bear Lake County",0.87,28,-0.82,1.69
ID-009,"Benewah County",1.81,46,-0.59,2.4
ID-011,"Bingham County",0.71,52,-0.29,1
ID-013,"Blaine County",0.92,54,-0.38,1.3
ID-015,"Boise County",1.91,66,-0.08,1.99
ID-017,"Bonner County",1.64,36,-1.26,2.9
ID-019,"Bonneville County",1.12,54,-0.25,1.37
ID-021,"Boundary County",1.9,34,-1.18,3.08
ID-023,"Butte County",0.52,47,-0.39,0.91
ID-025,"Camas County",1.2,49,-0.41,1.61
ID-027,"Canyon County",0.59,61,-0.11,0.7
ID-029,"Caribou County",1.16,43,-0.46,1.62
ID-031,"Cassia County",0.91,61,-0.26,1.17
ID-033,"Clark County",1.6,84,0.45,1.15
ID-035,"Clearwater County",2.7,45,-0.85,3.55
ID-037,"Custer County",1.21,54,-0.38,1.59
ID-039,"Elmore County",1.28,68,-0.04,1.32
ID-041,"Franklin County",1.29,47,-0.49,1.78
ID-043,"Fremont County",1.76,85,0.32,1.44
ID-045,"Gem County",1.09,50,-0.25,1.34
ID-047,"Gooding County",0.6,62,-0.17,0.77
ID-049,"Idaho County",1.85,31,-1.03,2.88
ID-051,"Jefferson County",0.38,41,-0.31,0.69
ID-053,"Jerome County",0.51,51,-0.24,0.75
ID-055,"Kootenai County",1.23,27,-1.27,2.5
ID-057,"Latah County",2.0,56,-0.27,2.27
ID-059,"Lemhi County",1.03,40,-0.44,1.47
ID-061,"Lewis County",1.92,58,-0.11,2.03
ID-063,"Lincoln County",0.49,52,-0.27,0.76
ID-065,"Madison County",0.72,42,-0.38,1.1
ID-067,"Minidoka County",0.46,46,-0.3,0.76
ID-069,"Nez Perce County",1.84,72,0.1,1.74
ID-071,"Oneida County",1.09,61,-0.25,1.34
ID-073,"Owyhee County",1.03,80,0.13,0.9
ID-075,"Payette County",0.64,46,-0.28,0.92
ID-077,"Power County",1.0,58,-0.27,1.27
ID-079,"Shoshone County",2.61,38,-1.06,3.67
ID-081,"Teton County",1.18,48,-0.41,1.59
ID-083,"Twin Falls County",0.71,60,-0.21,0.92
ID-085,"Valley County",1.65,43,-0.84,2.49
ID-087,"Washington County",0.8,42,-0.54,1.34
IL-001,"Adams County",2.37,62,-0.42,2.79
IL-003,"Alexander County",1.55,29,-1.52,3.07
IL-005,"Bond County",1.84,34,-1.12,2.96
IL-007,"Boone County",1.63,41,-1.0,2.63
IL-009,"Brown County",2.74,71,-0.06,2.8
IL-011,"Bureau County",1.93,50,-0.72,2.65
IL-013,"Calhoun County",3.35,81,0.33,3.02
IL-015,"Carroll County",1.27,34,-1.29,2.56
IL-017,"Cass County",2.62,67,-0.14,2.76
IL-019,"Champaign County",2.44,58,-0.33,2.77
IL-021,"Christian County",3.02,77,0.24,2.78
IL-023,"Clark County",1.76,33,-1.12,2.88
IL-025,"Clay County",1.84,34,-1.12,2.96
IL-027,"Clinton County",1.47,23,-1.52,2.99
IL-029,"Coles County",1.77,30,-1.02,2.79
IL-031,"Cook County",2.05,51,-0.65,2.7
IL-033,"Crawford County",1.75,31,-1.25,3
IL-035,"Cumberland County",1.87,36,-0.98,2.85
IL-037,"DeKalb County",1.98,51,-0.75,2.73
IL-039,"De Witt County",2.78,70,-0.05,2.83
IL-041,"Douglas County",1.99,36,-0.81,2.8
IL-043,"DuPage County",1.89,44,-0.77,2.66
IL-045,"Edgar County",2.01,41,-0.81,2.82
IL-047,"Edwards County",1.51,27,-1.46,2.97
IL-049,"Effingham County",2.13,43,-0.82,2.95
IL-051,"Fayette County",1.82,33,-1.12,2.94
IL-053,"Ford County",2.68,70,-0.02,2.7
IL-055,"Franklin County",1.31,26,-1.63,2.94
IL-057,"Fulton County",2.02,52,-0.58,2.6
IL-059,"Gallatin County",1.73,29,-1.27,3
IL-061,"Greene County",2.79,71,-0.2,2.99
IL-063,"Grundy County",2.14,55,-0.46,2.6
IL-065,"Hamilton County",1.42,24,-1.53,2.95
IL-067,"Hancock County",2.17,59,-0.48,2.65
IL-069,"Hardin County",1.63,27,-1.4,3.03
IL-071,"Henderson County",1.96,50,-0.7,2.66
IL-073,"Henry County",1.68,42,-0.88,2.56
IL-075,"Iroquois County",3.05,76,0.36,2.69
IL-077,"Jackson County",1.46,25,-1.61,3.07
IL-079,"Jasper County",1.9,36,-1.04,2.94
IL-081,"Jefferson County",1.54,27,-1.45,2.99
IL-083,"Jersey County",2.8,74,-0.22,3.02
IL-085,"Jo Daviess County",0.96,20,-1.59,2.55
IL-087,"Johnson County",1.68,29,-1.48,3.16
IL-089,"Kane County",1.9,46,-0.76,2.66
IL-091,"Kankakee County",2.93,77,0.25,2.68
IL-093,"Kendall County",2.0,51,-0.59,2.59
IL-095,"Knox County",2.5,74,-0.12,2.62
IL-097,"Lake County",1.84,41,-0.77,2.61
IL-099,"LaSalle County",1.97,52,-0.59,2.56
IL-101,"Lawrence County",1.83,36,-1.26,3.09
IL-103,"Lee County",1.85,43,-0.89,2.74
IL-105,"Livingston County",2.42,60,-0.17,2.59
IL-107,"Logan County",2.52,67,-0.2,2.72
IL-109,"McDonough County",2.4,66,-0.23,2.63
IL-111,"McHenry County",1.85,44,-0.79,2.64
IL-113,"McLean County",2.79,70,0.01,2.78
IL-115,"Macon County",2.97,76,0.1,2.87
IL-117,"Macoupin County",3.1,77,0.22,2.88
IL-119,"Madison County",3.37,84,0.43,2.94
IL-121,"Marion County",1.47,25,-1.5,2.97
IL-123,"Marshall County",2.11,53,-0.45,2.56
IL-125,"Mason County",1.85,44,-0.75,2.6
IL-127,"Massac County",1.76,29,-1.34,3.1
IL-129,"Menard County",1.9,52,-0.77,2.67
IL-131,"Mercer County",1.31,26,-1.28,2.59
IL-133,"Monroe County",2.96,78,0.01,2.95
IL-135,"Montgomery County",2.99,77,0.15,2.84
IL-137,"Morgan County",3.01,75,0.1,2.91
IL-139,"Moultrie County",2.28,55,-0.55,2.83
IL-141,"Ogle County",1.66,44,-1.0,2.66
IL-143,"Peoria County",2.35,66,-0.21,2.56
IL-145,"Perry County",1.48,30,-1.55,3.03
IL-147,"Piatt County",2.56,63,-0.26,2.82
IL-149,"Pike County",3.28,83,0.29,2.99
IL-151,"Pope County",1.71,30,-1.41,3.12
IL-153,"Pulaski County",1.73,34,-1.32,3.05
IL-155,"Putnam County",1.93,47,-0.59,2.52
IL-157,"Randolph County",2.06,45,-0.94,3
IL-159,"Richland County",1.71,30,-1.25,2.96
IL-161,"Rock Island County",1.03,23,-1.52,2.55
IL-163,"St. Clair County",3.09,81,0.17,2.92
IL-165,"Saline County",1.67,34,-1.32,2.99
IL-167,"Sangamon County",2.64,68,-0.07,2.71
IL-169,"Schuyler County",2.5,66,-0.18,2.68
IL-171,"Scott County",3.19,77,0.22,2.97
IL-173,"Shelby County",2.27,53,-0.56,2.83
IL-175,"Stark County",2.29,61,-0.34,2.63
IL-177,"Stephenson County",1.25,27,-1.3,2.55
IL-179,"Tazewell County",2.48,68,-0.18,2.66
IL-181,"Union County",1.53,28,-1.56,3.09
IL-183,"Vermilion County",2.47,61,-0.31,2.78
IL-185,"Wabash County",1.68,34,-1.34,3.02
IL-187,"Warren County",2.23,61,-0.42,2.65
IL-189,"Washington County",1.49,25,-1.59,3.08
IL-191,"Wayne County",1.47,27,-1.49,2.96
IL-193,"White County",1.62,30,-1.37,2.99
IL-195,"Whiteside County",1.38,37,-1.24,2.62
IL-197,"Will County",2.5,62,-0.25,2.75
IL-199,"Williamson County",1.31,25,-1.72,3.03
IL-201,"Winnebago County",1.4,35,-1.16,2.56
IL-203,"Woodford County",2.36,60,-0.29,2.65
IN-001,"Adams County",1.19,16,-1.36,2.55
IN-003,"Allen County",1.6,28,-1.06,2.66
IN-005,"Bartholomew County",1.19,17,-1.66,2.85
IN-007,"Benton County",2.65,64,-0.18,2.83
IN-009,"Blackford County",1.11,16,-1.48,2.59
IN-011,"Boone County",1.7,31,-1.13,2.83
IN-013,"Brown County",1.44,27,-1.47,2.91
IN-015,"Carroll County",2.1,49,-0.76,2.86
IN-017,"Cass County",2.07,43,-0.81,2.88
IN-019,"Clark County",1.15,20,-1.64,2.79
IN-021,"Clay County",1.43,21,-1.41,2.84
IN-023,"Clinton County",1.85,36,-0.99,2.84
IN-025,"Crawford County",1.21,19,-1.75,2.96
IN-027,"Daviess County",1.47,25,-1.52,2.99
IN-029,"Dearborn County",0.92,11,-1.8,2.72
IN-031,"Decatur County",0.94,10,-1.97,2.91
IN-033,"DeKalb County",1.69,37,-0.99,2.68
IN-035,"Delaware County",0.86,13,-1.75,2.61
IN-037,"Dubois County",1.3,19,-1.66,2.96
IN-039,"Elkhart County",2.81,67,-0.07,2.88
IN-041,"Fayette County",0.66,7,-2.23,2.89
IN-043,"Floyd County",1.09,19,-1.64,2.73
IN-045,"Fountain County",2.18,49,-0.6,2.78
IN-047,"Franklin County",0.75,10,-2.09,2.84
IN-049,"Fulton County",2.11,43,-0.79,2.9
IN-051,"Gibson County",1.57,32,-1.38,2.95
IN-053,"Grant County",1.34,23,-1.3,2.64
IN-055,"Greene County",1.67,31,-1.32,2.99
IN-057,"Hamilton County",1.27,21,-1.43,2.7
IN-059,"Hancock County",0.8,10,-1.91,2.71
IN-061,"Harrison County",1.16,19,-1.66,2.82
IN-063,"Hendricks County",1.64,31,-1.2,2.84
IN-065,"Henry County",0.7,8,-2.09,2.79
IN-067,"Howard County",1.7,35,-1.1,2.8
IN-069,"Huntington County",1.6,30,-1.19,2.79
IN-071,"Jackson County",1.43,23,-1.41,2.84
IN-073,"Jasper County",2.82,72,-0.05,2.87
IN-075,"Jay County",0.97,15,-1.6,2.57
IN-077,"Jefferson County",1.18,17,-1.64,2.82
IN-079,"Jennings County",1.25,15,-1.58,2.83
IN-081,"Johnson County",1.02,12,-1.81,2.83
IN-083,"Knox County",1.7,33,-1.37,3.07
IN-085,"Kosciusko County",2.41,54,-0.46,2.87
IN-087,"LaGrange County",2.39,54,-0.46,2.85
IN-089,"Lake County",3.07,77,0.22,2.85
IN-091,"LaPorte County",3.7,87,0.63,3.07
IN-093,"Lawrence County",1.65,34,-1.29,2.94
IN-095,"Madison County",1.03,15,-1.61,2.64
IN-097,"Marion County",1.21,16,-1.56,2.77
IN-099,"Marshall County",2.71,62,-0.25,2.96
IN-101,"Martin County",1.53,25,-1.46,2.99
IN-103,"Miami County",1.81,32,-1.03,2.84
IN-105,"Monroe County",1.74,33,-1.2,2.94
IN-107,"Montgomery County",1.81,38,-0.91,2.72
IN-109,"Morgan County",1.51,26,-1.33,2.84
IN-111,"Newton County",2.86,71,0.01,2.85
IN-113,"Noble County",2.32,53,-0.51,2.83
IN-115,"Ohio County",1.02,15,-1.63,2.65
IN-117,"Orange County",1.42,21,-1.58,3
IN-119,"Owen County",1.64,28,-1.28,2.92
IN-121,"Parke County",1.6,32,-1.19,2.79
IN-123,"Perry County",1.06,17,-1.8,2.86
IN-125,"Pike County",1.45,26,-1.51,2.96
IN-127,"Porter County",3.47,84,0.49,2.98
IN-129,"Posey County",1.64,26,-1.35,2.99
IN-131,"Pulaski County",2.66,65,-0.26,2.92
IN-133,"Putnam County",1.63,26,-1.23,2.86
IN-135,"Randolph County",0.63,7,-2.05,2.68
IN-137,"Ripley County",1.05,12,-1.8,2.85
IN-139,"Rush County",0.77,11,-2.08,2.85
IN-141,"St. Joseph County",3.36,78,0.3,3.06
IN-143,"Scott County",1.17,17,-1.67,2.84
IN-145,"Shelby County",0.79,10,-2.01,2.8
IN-147,"Spencer County",1.1,17,-1.79,2.89
IN-149,"Starke County",3.16,75,0.17,2.99
IN-151,"Steuben County",1.65,35,-1.09,2.74
IN-153,"Sullivan County",1.59,26,-1.4,2.99
IN-155,"Switzerland County",1.05,16,-1.64,2.69
IN-157,"Tippecanoe County",2.01,48,-0.8,2.81
IN-159,"Tipton County",1.56,29,-1.18,2.74
IN-161,"Union County",0.61,7,-2.24,2.85
IN-163,"Vanderburgh County",1.37,21,-1.57,2.94
IN-165,"Vermillion County",1.96,39,-0.83,2.79
IN-167,"Vigo County",1.55,28,-1.27,2.82
IN-169,"Wabash County",1.72,32,-1.13,2.85
IN-171,"Warren County",2.63,64,-0.18,2.81
IN-173,"Warrick County",1.28,20,-1.62,2.9
IN-175,"Washington County",1.27,17,-1.66,2.93
IN-177,"Wayne County",0.51,6,-2.38,2.89
IN-179,"Wells County",1.41,25,-1.25,2.66
IN-181,"White County",2.37,55,-0.48,2.85
IN-183,"Whitley County",2.06,44,-0.77,2.83
IA-001,"Adair County",0.6,15,-1.82,2.42
IA-003,"Adams County",0.78,13,-1.71,2.49
IA-005,"Allamakee County",1.33,30,-0.94,2.27
IA-007,"Appanoose County",1.85,43,-0.82,2.67
IA-009,"Audubon County",0.68,17,-1.49,2.17
IA-011,"Benton County",1.44,34,-0.9,2.34
IA-013,"Black Hawk County",1.35,26,-1.11,2.46
IA-015,"Boone County",0.66,16,-1.62,2.28
IA-017,"Bremer County",1.41,28,-1.0,2.41
IA-019,"Buchanan County",1.46,29,-0.96,2.42
IA-021,"Buena Vista County",0.31,7,-1.63,1.94
IA-023,"Butler County",0.86,19,-1.5,2.36
IA-025,"Calhoun County",0.71,16,-1.38,2.09
IA-027,"Carroll County",0.72,19,-1.4,2.12
IA-029,"Cass County",0.7,16,-1.6,2.3
IA-031,"Cedar County",0.99,18,-1.57,2.56
IA-033,"Cerro Gordo County",0.35,5,-1.84,2.19
IA-035,"Cherokee County",0.31,7,-1.56,1.87
IA-037,"Chickasaw County",1.19,26,-1.14,2.33
IA-039,"Clarke County",1.27,36,-1.25,2.52
IA-041,"Clay County",0.21,4,-1.64,1.85
IA-043,"Clayton County",1.29,30,-1.05,2.34
IA-045,"Clinton County",0.85,17,-1.71,2.56
IA-047,"Crawford County",0.45,12,-1.59,2.04
IA-049,"Dallas County",0.52,12,-1.76,2.28
IA-051,"Davis County",1.43,35,-1.3,2.73
IA-053,"Decatur County",1.44,41,-1.18,2.62
IA-055,"Delaware County",1.3,25,-1.09,2.39
IA-057,"Des Moines County",1.64,42,-1.02,2.66
IA-059,"Dickinson County",0.22,6,-1.56,1.78
IA-061,"Dubuque County",0.97,16,-1.46,2.43
IA-063,"Emmet County",0.2,3,-1.63,1.83
IA-065,"Fayette County",1.75,42,-0.64,2.39
IA-067,"Floyd County",0.6,13,-1.67,2.27
IA-069,"Franklin County",0.54,9,-1.76,2.3
IA-071,"Fremont County",0.59,15,-1.79,2.38
IA-073,"Greene County",0.65,17,-1.55,2.2
IA-075,"Grundy County",1.13,21,-1.29,2.42
IA-077,"Guthrie County",0.54,15,-1.71,2.25
IA-079,"Hamilton County",0.76,15,-1.46,2.22
IA-081,"Hancock County",0.47,8,-1.65,2.12
IA-083,"Hardin County",0.9,20,-1.42,2.32
IA-085,"Harrison County",0.35,10,-1.69,2.04
IA-087,"Henry County",1.18,27,-1.43,2.61
IA-089,"Howard County",1.21,29,-1.07,2.28
IA-091,"Humboldt County",0.51,15,-1.57,2.08
IA-093,"Ida County",0.28,8,-1.72,2
IA-095,"Iowa County",1.61,37,-0.85,2.46
IA-097,"Jackson County",0.74,12,-1.76,2.5
IA-099,"Jasper County",1.23,32,-1.17,2.4
IA-101,"Jefferson County",1.26,27,-1.3,2.56
IA-103,"Johnson County",1.39,31,-1.08,2.47
IA-105,"Jones County",1.1,19,-1.35,2.45
IA-107,"Keokuk County",1.54,35,-1.01,2.55
IA-109,"Kossuth County",0.49,13,-1.49,1.98
IA-111,"Lee County",1.43,33,-1.26,2.69
IA-113,"Linn County",1.73,44,-0.64,2.37
IA-115,"Louisa County",0.99,19,-1.58,2.57
IA-117,"Lucas County",1.37,38,-1.14,2.51
IA-119,"Lyon County",0.33,10,-1.41,1.74
IA-121,"Madison County",0.63,14,-1.79,2.42
IA-123,"Mahaska County",1.49,39,-1.01,2.5
IA-125,"Marion County",1.39,39,-1.04,2.43
IA-127,"Marshall County",1.14,27,-1.23,2.37
IA-129,"Mills County",0.56,14,-1.7,2.26
IA-131,"Mitchell County",0.54,10,-1.69,2.23
IA-133,"Monona County",0.21,7,-1.77,1.98
IA-135,"Monroe County",1.54,38,-0.99,2.53
IA-137,"Montgomery County",0.69,16,-1.66,2.35
IA-139,"Muscatine County",0.88,14,-1.7,2.58
IA-141,"O'Brien County",0.34,8,-1.47,1.81
IA-143,"Osceola County",0.32,6,-1.46,1.78
IA-145,"Page County",0.72,15,-1.78,2.5
IA-147,"Palo Alto County",0.36,6,-1.56,1.92
IA-149,"Plymouth County",0.5,13,-1.28,1.78
IA-151,"Pocahontas County",0.51,12,-1.54,2.05
IA-153,"Polk County",0.76,15,-1.57,2.33
IA-155,"Pottawattamie County",0.61,17,-1.58,2.19
IA-157,"Poweshiek County",1.38,32,-1.09,2.47
IA-159,"Ringgold County",1.23,28,-1.42,2.65
IA-161,"Sac County",0.54,14,-1.48,2.02
IA-163,"Scott County",0.97,18,-1.58,2.55
IA-165,"Shelby County",0.61,17,-1.51,2.12
IA-167,"Sioux County",0.42,12,-1.32,1.74
IA-169,"Story County",0.79,16,-1.53,2.32
IA-171,"Tama County",1.24,26,-1.22,2.46
IA-173,"Taylor County",0.93,16,-1.71,2.64
IA-175,"Union County",0.95,17,-1.61,2.56
IA-177,"Van Buren County",0.93,17,-1.78,2.71
IA-179,"Wapello County",1.47,35,-1.09,2.56
IA-181,"Warren County",1.04,27,-1.35,2.39
IA-183,"Washington County",1.12,19,-1.42,2.54
IA-185,"Wayne County",1.6,39,-1.07,2.67
IA-187,"Webster County",0.61,15,-1.54,2.15
IA-189,"Winnebago County",0.49,11,-1.63,2.12
IA-191,"Winneshiek County",1.47,32,-0.83,2.3
IA-193,"Woodbury County",0.34,8,-1.54,1.88
IA-195,"Worth County",0.36,6,-1.82,2.18
IA-197,"Wright County",0.59,11,-1.6,2.19
KS-001,"Allen County",1.63,32,-1.64,3.27
KS-003,"Anderson County",1.39,31,-1.86,3.25
KS-005,"Atchison County",1.14,28,-1.45,2.59
KS-007,"Barber County",0.22,9,-1.93,2.15
KS-009,"Barton County",0.32,13,-1.42,1.74
KS-011,"Bourbon County",2.54,53,-0.88,3.42
KS-013,"Brown County",0.95,24,-1.52,2.47
KS-015,"Butler County",1.29,26,-1.37,2.66
KS-017,"Chase County",1.08,23,-1.54,2.62
KS-019,"Chautauqua County",1.83,43,-1.3,3.13
KS-021,"Cherokee County",2.79,58,-0.8,3.59
KS-023,"Cheyenne County",0.14,14,-0.98,1.12
KS-025,"Clark County",0.1,8,-1.54,1.64
KS-027,"Clay County",1.24,35,-0.95,2.19
KS-029,"Cloud County",1.29,44,-0.66,1.95
KS-031,"Coffey County",0.86,14,-2.14,3
KS-033,"Comanche County",0.11,7,-1.74,1.85
KS-035,"Cowley County",1.59,35,-1.18,2.77
KS-037,"Crawford County",2.8,59,-0.69,3.49
KS-039,"Decatur County",0.31,21,-0.94,1.25
KS-041,"Dickinson County",1.02,26,-1.31,2.33
KS-043,"Doniphan County",1.02,26,-1.55,2.57
KS-045,"Douglas County",1.42,33,-1.45,2.87
KS-047,"Edwards County",0.07,4,-1.56,1.63
KS-049,"Elk County",1.81,35,-1.22,3.03
KS-051,"Ellis County",0.3,16,-1.12,1.42
KS-053,"Ellsworth County",0.62,19,-1.28,1.9
KS-055,"Finney County",0.02,3,-1.18,1.2
KS-057,"Ford County",0.04,4,-1.48,1.52
KS-059,"Franklin County",1.27,27,-1.81,3.08
KS-061,"Geary County",1.04,24,-1.38,2.42
KS-063,"Gove County",0.14,16,-1.09,1.23
KS-065,"Graham County",0.41,28,-0.96,1.37
KS-067,"Grant County",0.02,4,-1.15,1.17
KS-069,"Gray County",0.01,1,-1.35,1.36
KS-071,"Greeley County",0.09,15,-0.87,0.96
KS-073,"Greenwood County",1.25,26,-1.61,2.86
KS-075,"Hamilton County",0.05,11,-0.98,1.03
KS-077,"Harper County",0.77,21,-1.61,2.38
KS-079,"Harvey County",0.76,18,-1.68,2.44
KS-081,"Haskell County",0.01,1,-1.3,1.31
KS-083,"Hodgeman County",0.04,3,-1.38,1.42
KS-085,"Jackson County",1.13,26,-1.36,2.49
KS-087,"Jefferson County",1.38,30,-1.31,2.69
KS-089,"Jewell County",0.64,27,-1.04,1.68
KS-091,"Johnson County",1.46,33,-1.6,3.06
KS-093,"Kearny County",0.02,6,-1.05,1.07
KS-095,"Kingman County",0.4,14,-1.91,2.31
KS-097,"Kiowa County",0.06,3,-1.69,1.75
KS-099,"Labette County",1.82,37,-1.68,3.5
KS-101,"Lane County",0.07,7,-1.17,1.24
KS-103,"Leavenworth County",1.41,34,-1.4,2.81
KS-105,"Lincoln County",0.73,25,-1.1,1.83
KS-107,"Linn County",2.17,46,-1.19,3.36
KS-109,"Logan County",0.12,15,-1.0,1.12
KS-111,"Lyon County",1.01,20,-1.76,2.77
KS-113,"McPherson County",0.55,12,-1.73,2.28
KS-115,"Marion County",0.83,18,-1.64,2.47
KS-117,"Marshall County",1.16,27,-1.11,2.27
KS-119,"Meade County",0.07,5,-1.44,1.51
KS-121,"Miami County",1.44,31,-1.82,3.26
KS-123,"Mitchell County",0.64,22,-1.13,1.77
KS-125,"Montgomery County",1.76,39,-1.49,3.25
KS-127,"Morris County",0.77,15,-1.74,2.51
KS-129,"Morton County",0.11,20,-1.04,1.15
KS-131,"Nemaha County",0.99,22,-1.44,2.43
KS-133,"Neosho County",1.87,37,-1.47,3.34
KS-135,"Ness County",0.1,5,-1.25,1.35
KS-137,"Norton County",0.42,27,-0.95,1.37
KS-139,"Osage County",1.24,28,-1.59,2.83
KS-141,"Osborne County",0.56,28,-0.99,1.55
KS-143,"Ottawa County",0.8,25,-1.21,2.01
KS-145,"Pawnee County",0.15,4,-1.46,1.61
KS-147,"Phillips County",0.56,32,-0.89,1.45
KS-149,"Pottawatomie County",0.97,19,-1.46,2.43
KS-151,"Pratt County",0.17,7,-1.9,2.07
KS-153,"Rawlins County",0.36,33,-0.85,1.21
KS-155,"Reno County",0.42,11,-1.8,2.22
KS-157,"Republic County",0.96,33,-0.86,1.82
KS-159,"Rice County",0.37,11,-1.68,2.05
KS-161,"Riley County",1.11,27,-1.23,2.34
KS-163,"Rooks County",0.44,26,-0.99,1.43
KS-165,"Rush County",0.19,10,-1.33,1.52
KS-167,"Russell County",0.44,18,-1.19,1.63
KS-169,"Saline County",0.63,16,-1.55,2.18
KS-171,"Scott County",0.07,10,-1.09,1.16
KS-173,"Sedgwick County",1.02,26,-1.47,2.49
KS-175,"Seward County",0.1,9,-1.29,1.39
KS-177,"Shawnee County",1.18,26,-1.45,2.63
KS-179,"Sheridan County",0.3,27,-0.99,1.29
KS-181,"Sherman County",0.11,14,-0.95,1.06
KS-183,"Smith County",0.66,34,-0.83,1.49
KS-185,"Stafford County",0.26,10,-1.63,1.89
KS-187,"Stanton County",0.04,8,-1.06,1.1
KS-189,"Stevens County",0.12,17,-1.16,1.28
KS-191,"Sumner County",1.32,32,-1.23,2.55
KS-193,"Thomas County",0.27,28,-0.93,1.2
KS-195,"Trego County",0.22,16,-1.1,1.32
KS-197,"Wabaunsee County",0.88,18,-1.68,2.56
KS-199,"Wallace County",0.08,11,-0.93,1.01
KS-201,"Washington County",1.13,29,-0.92,2.05
KS-203,"Wichita County",0.08,12,-0.97,1.05
KS-205,"Wilson County",1.81,37,-1.32,3.13
KS-207,"Woodson County",1.34,27,-1.7,3.04
KS-209,"Wyandotte County",1.38,34,-1.56,2.94
KY-001,"Adair County",2.31,53,-0.56,2.87
KY-003,"Allen County",1.84,35,-1.06,2.9
KY-005,"Anderson County",1.12,21,-1.55,2.67
KY-007,"Ballard County",1.75,35,-1.32,3.07
KY-009,"Barren County",1.82,34,-1.09,2.91
KY-011,"Bath County",1.13,15,-1.46,2.59
KY-013,"Bell County",1.58,23,-1.41,2.99
KY-015,"Boone County",1.0,15,-1.63,2.63
KY-017,"Bourbon County",0.83,13,-1.73,2.56
KY-019,"Boyd County",1.03,17,-1.52,2.55
KY-021,"Boyle County",1.31,27,-1.42,2.73
KY-023,"Bracken County",0.71,9,-1.89,2.6
KY-025,"Breathitt County",1.12,16,-1.52,2.64
KY-027,"Breckinridge County",0.93,13,-1.97,2.9
KY-029,"Bullitt County",1.13,22,-1.68,2.81
KY-031,"Butler County",1.13,16,-1.77,2.9
KY-033,"Caldwell County",1.22,17,-1.79,3.01
KY-035,"Calloway County",1.21,15,-1.74,2.95
KY-037,"Campbell County",1.01,16,-1.55,2.56
KY-039,"Carlisle County",1.52,26,-1.57,3.09
KY-041,"Carroll County",1.08,17,-1.64,2.72
KY-043,"Carter County",1.1,16,-1.41,2.51
KY-045,"Casey County",1.81,37,-1.03,2.84
KY-047,"Christian County",1.12,18,-1.81,2.93
KY-049,"Clark County",1.03,16,-1.55,2.58
KY-051,"Clay County",1.27,18,-1.49,2.76
KY-053,"Clinton County",1.78,34,-1.1,2.88
KY-055,"Crittenden County",1.48,23,-1.52,3
KY-057,"Cumberland County",2.03,41,-0.87,2.9
KY-059,"Daviess County",1.0,16,-1.92,2.92
KY-061,"Edmonson County",1.33,17,-1.63,2.96
KY-063,"Elliott County",1.1,18,-1.43,2.53
KY-065,"Estill County",1.13,19,-1.45,2.58
KY-067,"Fayette County",0.99,20,-1.59,2.58
KY-069,"Fleming County",1.03,14,-1.56,2.59
KY-071,"Floyd County",1.37,19,-1.21,2.58
KY-073,"Franklin County",1.06,20,-1.59,2.65
KY-075,"Fulton County",1.06,13,-2.07,3.13
KY-077,"Gallatin County",1.03,16,-1.61,2.64
KY-079,"Garrard County",1.26,24,-1.39,2.65
KY-081,"Grant County",0.94,15,-1.65,2.59
KY-083,"Graves County",1.3,19,-1.74,3.04
KY-085,"Grayson County",1.11,14,-1.88,2.99
KY-087,"Green County",2.17,48,-0.69,2.86
KY-089,"Greenup County",1.12,16,-1.39,2.51
KY-091,"Hancock County",0.95,14,-1.93,2.88
KY-093,"Hardin County",1.18,17,-1.71,2.89
KY-095,"Harlan County",1.81,26,-1.17,2.98
KY-097,"Harrison County",0.61,9,-1.89,2.5
KY-099,"Hart County",1.66,29,-1.23,2.89
KY-101,"Henderson County",1.29,19,-1.65,2.94
KY-103,"Henry County",1.13,20,-1.6,2.73
KY-105,"Hickman County",1.22,19,-1.86,3.08
KY-107,"Hopkins County",0.95,13,-1.95,2.9
KY-109,"Jackson County",1.24,21,-1.48,2.72
KY-111,"Jefferson County",1.23,23,-1.51,2.74
KY-113,"Jessamine County",1.14,23,-1.45,2.59
KY-115,"Johnson County",1.04,13,-1.55,2.59
KY-117,"Kenton County",1.01,16,-1.58,2.59
KY-119,"Knott County",1.58,29,-1.1,2.68
KY-121,"Knox County",1.34,18,-1.53,2.87
KY-123,"Larue County",1.52,26,-1.37,2.89
KY-125,"Laurel County",1.36,21,-1.45,2.81
KY-127,"Lawrence County",1.1,15,-1.42,2.52
KY-129,"Lee County",1.09,18,-1.5,2.59
KY-131,"Leslie County",1.51,20,-1.32,2.83
KY-133,"Letcher County",1.71,31,-1.0,2.71
KY-135,"Lewis County",1.06,15,-1.51,2.57
KY-137,"Lincoln County",1.41,27,-1.34,2.75
KY-139,"Livingston County",1.59,26,-1.45,3.04
KY-141,"Logan County",1.22,18,-1.64,2.86
KY-143,"Lyon County",1.34,21,-1.7,3.04
KY-145,"McCracken County",1.7,30,-1.37,3.07
